1781315798,2026-06-13 09:56:38,3.483GiB / 23.47GiB|0.38%,200,1339 MiB,1.036
1781315857,2026-06-13 09:57:37,3.483GiB / 23.47GiB|0.39%,200,1199 MiB,3.388
1781315918,2026-06-13 09:58:38,3.483GiB / 23.47GiB|0.53%,200,1199 MiB,1.455
1781315977,2026-06-13 09:59:37,3.483GiB / 23.47GiB|0.63%,200,1204 MiB,3.109
1781316038,2026-06-13 10:00:38,3.483GiB / 23.47GiB|0.32%,200,1226 MiB,1.218
1781316099,2026-06-13 10:01:39,3.483GiB / 23.47GiB|0.50%,200,1226 MiB,2.324
1781316160,2026-06-13 10:02:40,3.483GiB / 23.47GiB|0.23%,200,1226 MiB,1.647
1781316220,2026-06-13 10:03:40,3.483GiB / 23.47GiB|0.35%,200,1226 MiB,1.100
1781316282,2026-06-13 10:04:42,3.483GiB / 23.47GiB|0.56%,200,1226 MiB,1.032
1781316342,2026-06-13 10:05:42,3.483GiB / 23.47GiB|0.20%,200,1226 MiB,1.088
1781316402,2026-06-13 10:06:42,3.483GiB / 23.47GiB|0.27%,200,1226 MiB,2.539
1781316463,2026-06-13 10:07:43,3.483GiB / 23.47GiB|0.45%,200,1226 MiB,1.160
1781316523,2026-06-13 10:08:43,3.483GiB / 23.47GiB|0.33%,200,1470 MiB,4.579
1781316587,2026-06-13 10:09:47,3.483GiB / 23.47GiB|0.49%,200,1226 MiB,2.446
1781316648,2026-06-13 10:10:48,3.483GiB / 23.47GiB|0.49%,200,1226 MiB,.931
1781316708,2026-06-13 10:11:48,3.483GiB / 23.47GiB|0.40%,200,1227 MiB,1.068
1781316768,2026-06-13 10:12:48,3.483GiB / 23.47GiB|0.41%,200,1228 MiB,1.211
1781316828,2026-06-13 10:13:48,3.483GiB / 23.47GiB|0.56%,200,1228 MiB,2.886
1781316889,2026-06-13 10:14:49,3.483GiB / 23.47GiB|0.29%,200,1229 MiB,.986
1781316949,2026-06-13 10:15:49,3.483GiB / 23.47GiB|0.51%,200,1229 MiB,1.073
1781317009,2026-06-13 10:16:49,3.483GiB / 23.47GiB|0.35%,200,1229 MiB,1.005
1781317068,2026-06-13 10:17:48,3.483GiB / 23.47GiB|0.33%,200,1262 MiB,1.004
1781317128,2026-06-13 10:18:48,3.483GiB / 23.47GiB|0.43%,200,1237 MiB,.992
1781317187,2026-06-13 10:19:47,3.483GiB / 23.47GiB|0.41%,200,1242 MiB,1.074
1781317247,2026-06-13 10:20:47,3.483GiB / 23.47GiB|0.40%,200,1242 MiB,1.010
1781317306,2026-06-13 10:21:46,3.483GiB / 23.47GiB|0.50%,200,1242 MiB,2.555
1781317368,2026-06-13 10:22:48,3.483GiB / 23.47GiB|0.36%,200,1242 MiB,1.646
1781317428,2026-06-13 10:23:48,3.483GiB / 23.47GiB|0.39%,200,1242 MiB,.978
1781317487,2026-06-13 10:24:47,3.483GiB / 23.47GiB|0.28%,200,1286 MiB,1.023
1781317547,2026-06-13 10:25:47,3.484GiB / 23.47GiB|0.24%,200,1313 MiB,1.643
